filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
Acrocephalus-arundinaceus-267175.wav,0.3578891158103943,0.007360386662185192,2830.9733856602393,1867.3889870844541,4344.073731980457,0.23343434053308823,-370.5655822753906,65.3423080444336,-64.547119140625,31.562536239624023,-3.3933486938476562,-1.7266649007797241,-5.166235446929932,14.911232948303223,-9.498852729797363,-1.6883292198181152,-2.8863065242767334,7.664125919342041,-5.91270112991333,6.198060512542725,-2.6741890907287598,5.160463333129883,-7.426591396331787,4.621036529541016,-6.655982971191406,4.7142558097839355,Acrocephalus
Acrocephalus-arundinaceus-267177.wav,0.5985525250434875,0.00591186573728919,2378.2684383390488,2320.64912054238,4873.487197356328,0.13216359991776316,-392.1001281738281,91.87992095947266,-20.753334045410156,24.059185028076172,-8.859262466430664,15.827130317687988,-2.6637637615203857,13.612218856811523,-1.346890926361084,6.469549655914307,-2.119349956512451,4.012486457824707,-5.417825222015381,4.764873504638672,-9.181020736694336,3.729559898376465,-8.674186706542969,2.8003644943237305,-5.072103023529053,4.4346113204956055,Acrocephalus
Acrocephalus-arundinaceus-267178.wav,0.4848082661628723,0.006667746230959892,2520.1040841408912,2049.3695488626377,4372.598559494727,0.1786909073868034,-367.11956787109375,87.7942886352539,-49.13612747192383,19.511051177978516,-8.243036270141602,0.22603198885917664,-1.6355832815170288,13.728525161743164,-6.349340915679932,4.4701828956604,-1.9159384965896606,7.328643321990967,-3.741450548171997,6.83138370513916,-4.933407783508301,5.682694435119629,-4.11448335647583,8.59561538696289,-4.737782955169678,3.790026903152466,Acrocephalus
Acrocephalus-arundinaceus-267179.wav,0.4554121792316437,0.007369735278189182,2325.3102673156322,1903.3574386174753,3785.552109284298,0.17174952834752322,-366.0428466796875,97.56021118164062,-55.23202133178711,15.464730262756348,-6.016701698303223,-0.5831049680709839,0.9780033230781555,14.665098190307617,-6.6662187576293945,3.309514284133911,-0.38741105794906616,6.745373249053955,-2.3408398628234863,8.000219345092773,-5.091063976287842,4.593829154968262,-4.296419143676758,7.612384796142578,-3.8478589057922363,3.933637857437134,Acrocephalus
Acrocephalus-arundinaceus-267181.wav,0.4596002399921417,0.004558735992759466,2835.4963648740363,2138.89050571228,4897.487052232488,0.20926593036474458,-417.0215148925781,70.13967895507812,-47.58210372924805,23.95191192626953,-0.7240458130836487,-2.2496001720428467,-6.299692630767822,12.82066822052002,-7.97080659866333,3.557948350906372,-3.2192413806915283,5.567347049713135,-4.440874099731445,5.144253253936768,-2.7033605575561523,7.14932918548584,-5.164286136627197,6.554629325866699,-4.862271785736084,4.022983074188232,Acrocephalus
Acrocephalus-arundinaceus-269372.wav,0.6011185050010681,0.00499028991907835,3223.246645635402,2321.164215078601,5801.573252013593,0.2377650021768576,-361.990234375,47.79207229614258,-49.061397552490234,18.985143661499023,-19.225433349609375,0.1570330709218979,-14.188328742980957,7.113211631774902,-13.382347106933594,2.1472339630126953,-9.413447380065918,-0.018564939498901367,-13.949936866760254,-1.2621954679489136,-12.199234008789062,0.7219610810279846,-10.057302474975586,0.620650053024292,-8.621040344238281,-0.1793963760137558,Acrocephalus
Acrocephalus-arundinaceus-269607.wav,0.47410592436790466,0.00804148893803358,2984.2553168589416,2344.7964423702633,5695.873891163167,0.19306799354198917,-387.7481384277344,44.286685943603516,-67.50020599365234,-31.12981414794922,-42.87062072753906,-18.425907135009766,-16.974071502685547,6.066949367523193,-9.430005073547363,7.216327667236328,-4.52376651763916,12.076830863952637,5.840058326721191,13.851466178894043,0.41170433163642883,8.75576114654541,-2.9009718894958496,3.472980499267578,-2.5677478313446045,7.366269111633301,Acrocephalus
Acrocephalus-arundinaceus-270234.wav,0.3768051564693451,0.007162764202803373,2949.5535083477844,2180.893020950362,5053.502775493421,0.21060870380224458,-373.068359375,56.82331848144531,-50.24333190917969,20.97300910949707,-10.392464637756348,6.914447784423828,6.326014041900635,21.07115936279297,10.035380363464355,16.6306209564209,-0.9781442880630493,8.775931358337402,-5.218642711639404,5.398538589477539,0.21674977242946625,14.839874267578125,-1.009918451309204,3.101349353790283,-2.5151941776275635,6.244656085968018,Acrocephalus
Acrocephalus-arundinaceus-270357.wav,0.546585738658905,0.029382552951574326,2990.3881834832437,2371.3840097333677,5649.340839208833,0.20527124552534828,-274.7249755859375,65.61551666259766,-31.325511932373047,23.75535011291504,-2.318451404571533,7.15336799621582,0.1502312272787094,11.554165840148926,-6.335022926330566,6.028208255767822,-3.7631874084472656,5.861717224121094,-4.656222820281982,4.585987567901611,-4.0544891357421875,3.1446967124938965,-2.9249062538146973,5.697612285614014,-5.126342296600342,3.271401882171631,Acrocephalus
Acrocephalus-arundinaceus-271723.wav,0.3807818591594696,0.01067200768738985,3200.394544398665,1950.6876138889954,4928.470198214976,0.2588442397929567,-331.93792724609375,36.23664855957031,-68.41682434082031,29.241764068603516,-14.743590354919434,0.06351908296346664,2.3458380699157715,18.39682960510254,-6.718581676483154,8.14723014831543,2.150535821914673,14.677295684814453,-3.157189130783081,11.612452507019043,-2.5143933296203613,10.723852157592773,-2.08787202835083,8.696051597595215,-0.9251221418380737,6.4162116050720215,Acrocephalus
Acrocephalus-arundinaceus-278476.wav,0.47674626111984253,0.006458568852394819,3059.5107346392783,1862.1735530946662,4711.854841391738,0.26195684379837464,-397.6419677734375,51.0854606628418,-65.88180541992188,39.36711883544922,-19.287113189697266,-3.387225866317749,-4.134742736816406,6.54478120803833,-6.407464027404785,2.55582594871521,-4.110004425048828,5.215452194213867,-5.659255027770996,3.3716654777526855,-5.430976867675781,2.9226460456848145,-7.094991207122803,3.4588098526000977,-4.615468502044678,3.6464178562164307,Acrocephalus
